,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills,Data_Scientist_Total,Web_Development_Total,Web_Development_Eligibility,Data_Scientist_Eligibility,Post Assigned
311,ML0315,0,0,0,2,2,2,2,2,0,0,0,0,0,"C Programming, C++ Programming, CSS, Data Structures, HTML, Hibernate (Java), Java, JavaScript, MySQL, PHP, Spring MVC",3,8,0,0,0
312,ML0316,2,2,0,0,0,1,1,1,0,0,0,0,0,"Bengali Proficiency (Spoken), Bengali Proficiency (Written), Hindi Proficiency (Spoken), C Programming, C#.NET, C++ Programming, Data Structures, Java, Python, SQL, Android, CSS, Data Analytics, Database Management System (DBMS), HTML, Internet of Things (IoT), JavaScript, Machine Learning",7,4,0,0,0
313,ML0317,0,2,0,0,0,2,2,2,0,0,0,0,2,"MS-Word, C Programming, CSS, Embedded Systems, HTML, JavaScript, MS-Excel, MS-Office, MS-PowerPoint, ReactJS",2,8,0,0,0
314,ML0318,2,2,0,0,0,0,0,0,0,0,0,0,0,"Embedded Systems, C Programming, Internet of Things (IoT), Python, Java",4,0,0,0,0
315,ML0319,0,0,0,1,0,2,2,2,0,0,0,0,1,"CSS, HTML, JavaScript, PHP",0,8,0,0,0
316,ML0320,2,0,0,0,2,3,3,3,0,0,0,0,2,"CSS, Data Structures, HTML, JavaScript, AngularJS, C#, MySQL, Python, SQL",6,11,0,0,0
317,ML0321,1,2,0,0,0,2,2,1,0,0,0,0,1,"C Programming, Android, Angular 7.0, C++ Programming, CSS, HTML, J2EE, Java, SQL, Django, JavaScript, Python",3,7,0,0,0
318,ML0322,0,2,0,0,0,2,2,2,0,0,0,0,1,".NET, ASP.NET, Adobe Photoshop, C#, C++ Programming, CSS, HTML, Java, JavaScript, MS-Office, Visual Basic (VB)",2,10,0,0,0
319,ML0323,3,0,0,0,0,2,0,2,0,0,0,0,2,"Linux, Python, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), HTML, Hindi Proficiency (Spoken), Hindi Proficiency (Written), Internet of Things (IoT), Java, JavaScript, Punjabi Proficiency (Spoken), Punjabi Proficiency (Written)",3,6,0,0,0
320,ML0324,2,2,0,0,1,0,0,0,0,0,0,0,1,"Python, MySQL",5,1,0,0,0
321,ML0325,0,0,0,0,1,1,0,0,0,0,0,0,2,"Android, C#, C++ Programming, HTML, Java, MySQL, XML",1,4,0,0,0
322,ML0326,3,0,0,0,0,0,0,0,0,0,0,0,1,"C Programming, C++ Programming, Python, Algorithms, Data Structures, Java",5,1,0,0,0
323,ML0327,2,0,0,0,0,0,0,0,0,0,0,0,1,"MS-Excel, Power BI, Python, BIG DATA ANALYTICS, Deep Learning, Machine Learning, SQL",6,1,0,0,0
324,ML0328,2,0,0,2,0,3,2,2,0,0,0,0,0,"C Programming, Data Structures, HTML, C++ Programming, CSS, Java, JavaScript, PHP, Python, Database Management System (DBMS)",3,9,0,0,0
325,ML0329,2,0,1,0,0,2,2,1,0,0,0,0,0,"CSS, HTML, Python, SQL, JavaScript",3,5,0,0,0
326,ML0330,0,0,0,0,0,2,0,0,0,0,0,0,0,"Adobe XD, C Programming, C++ Programming, Java, HTML, UI & UX Design, Wireframing",0,3,0,0,0
327,ML0331,3,0,0,0,0,3,2,2,0,0,0,0,0,"English Proficiency (Spoken), HTML, MS-Office, MS-PowerPoint, Python, Adobe Photoshop, Adobe Premiere Pro, C Programming, CSS, Data Structures, JavaScript, Search Engine Marketing (SEM), Software Testing",4,8,0,0,0
328,ML0332,0,2,0,1,0,1,1,1,0,0,0,0,1,"CSS, HTML, JavaScript, PHP, WordPress",3,5,0,0,0
329,ML0333,0,0,0,0,2,2,2,2,0,0,0,0,2,"C Programming, CSS, HTML, Java, JavaScript, MySQL",2,8,0,0,0
330,ML0334,0,0,0,0,0,0,0,0,0,0,0,0,1,"C++ Programming, Photography, Java, Linux",0,1,0,0,0
331,ML0335,1,0,2,0,0,0,0,0,0,0,0,0,2,"Java, Software Testing, Android, Ethical Hacking, Python",3,2,0,0,0
332,ML0336,1,0,0,0,0,0,0,0,0,0,0,0,1,"C Programming, Java, Python",1,1,0,0,0
333,ML0337,1,0,1,2,0,3,2,0,0,0,0,0,0,"HTML, Android, C Programming, C++ Programming, CSS, Java, PHP, Python",2,7,0,0,0
334,ML0338,1,2,1,0,0,0,0,1,0,0,0,0,0,"WordPress, C Programming, Data Analytics, Data Structures, JavaScript, Python, React Native, SQL",7,1,0,0,0
335,ML0339,0,0,1,0,0,2,2,0,0,0,0,0,0,"C Programming, CSS, Database Management System (DBMS), HTML, Java, SQL, XML",1,5,0,0,0
336,ML0340,0,0,2,0,0,2,0,0,0,0,0,0,0,"HTML, Java, SQL, Software Testing",2,2,0,0,0
337,ML0341,1,0,0,0,2,2,2,2,0,0,0,2,1,"CSS, HTML, Java, JavaScript, MySQL, Node.js, ReactJS, Python",3,9,0,0,0
338,ML0342,0,0,0,0,1,2,2,1,0,0,0,0,2,"CSS, HTML, Java, C Programming, Firebase, JavaScript, MySQL",1,7,0,0,0
339,ML0343,1,0,0,0,0,2,2,0,1,0,0,0,1,"MS-Office, Algorithms, C Programming, C++ Programming, CSS, Data Structures, Database Management System (DBMS), HTML, MS-Excel, MS-PowerPoint, AJAX, Linux, Python",3,6,0,0,0
340,ML0344,0,1,0,0,0,2,2,2,0,0,0,0,1,"MS-Word, C Programming, CSS, Embedded Systems, HTML, JavaScript, MS-Excel, MS-Office, MS-PowerPoint, ReactJS",1,7,0,0,0
341,ML0345,2,2,3,2,2,2,2,2,0,2,0,0,1,"MS-Excel, MS-PowerPoint, MS-Word, Adobe Photoshop, BIG DATA ANALYTICS, Bootstrap, C Programming, C++ Programming, CSS, Data Structures, Database Management System (DBMS), ERP Implementation and Deployment, HTML, Java, JavaScript, Machine Learning, MySQL, PHP, Photography, Python, SQL, Software Testing, Video Editing",12,12,1,1,3
342,ML0346,0,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Eclipse (IDE), Java, Android, C#.NET",0,1,0,0,0
343,ML0347,0,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Java, SQL",0,0,0,0,0
344,ML0348,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
345,ML0349,2,0,0,0,0,0,0,0,0,0,0,2,0,"AngularJS, Java, Node.js, Python",3,2,0,0,0
346,ML0350,2,0,1,0,3,3,3,3,0,0,0,0,0,"Algorithms, C Programming, CSS, Data Structures, HTML, Java, JavaScript, Manual Testing, MySQL, Robotics, Android, Hibernate (Java), J2EE, Python",8,9,0,0,0
347,ML0351,1,0,0,2,0,0,0,0,0,0,0,0,0,"Java, PHP, Python",1,2,0,0,0
348,ML0352,0,0,0,0,0,3,2,2,0,0,0,0,0,"C Programming, C++ Programming, HTML, CSS, Data Structures, Java, JavaScript, SQL, Django",1,8,0,0,0
349,ML0353,2,0,0,2,1,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Java, PHP, Python, MySQL, NoSQL",3,2,0,0,0
350,ML0354,1,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Android, Java, Python",1,0,0,0,0
351,ML0355,2,0,0,0,2,2,2,1,1,1,0,0,0,"SQL, Search Engine Optimization (SEO), UI & UX Design, User Interface (UI) Development, Visual Basic (VB), Adobe Dreamweaver, Amazon Web Services (AWS), C#.NET, CSS, Creative Writing, Eclipse (IDE), English Proficiency (Spoken), English Proficiency (Written), HTML, Hindi Proficiency (Written), JSP, MS SQL Server, MS-Excel, MS-Office, Magento, MySQL, Python, Servlets, Teaching, WordPress, AJAX, ASP.NET, Android, AngularJS, Bootstrap, C++ Programming, Data Structures, Django, Java, JavaScript, Machine Learning, NoSQL, SQLite, XML, jQuery",8,15,0,0,0
352,ML0356,0,2,0,2,0,2,2,0,0,0,0,0,0,".NET, Android, C Programming, C#, CSS, HTML, PHP, Java",2,7,0,0,0
353,ML0357,1,2,0,1,0,2,2,1,0,0,0,0,0,"C Programming, C++ Programming, CSS, HTML, Java, SQL, J2EE, JavaScript, PHP, Python",3,6,0,0,0
354,ML0358,2,3,0,0,0,2,1,0,0,0,0,0,0,"C Programming, HTML, MS-Office, MS-PowerPoint, Python, CSS, Django",5,4,0,0,0
355,ML0359,0,1,2,2,2,2,2,2,0,0,0,0,0,"CSS, HTML, JavaScript, Manual Testing, MySQL, PHP, Software Testing",5,8,0,0,0
356,ML0360,1,0,2,2,2,3,3,2,0,2,2,2,0,"CSS, HTML, Amazon Web Services (AWS), Android, AngularJS, Bootstrap, C Programming, C++ Programming, GitHub, Internet of Things (IoT), Java, JavaScript, Linux, MS-Excel, Manual Testing, MongoDB, MySQL, NoSQL, Node.js, PHP, SQLite, Software Testing, UI & UX Design, Unix, Machine Learning, Python, jQuery",9,16,1,0,2
357,ML0361,0,0,0,0,0,2,1,2,0,0,1,1,1,"HTML, JavaScript, CSS, MongoDB, Node.js, ReactJS",1,7,0,0,0
358,ML0362,1,0,0,0,0,0,0,0,0,0,0,0,0,"Android, C Programming, C++ Programming, Java, MS-Office, MS-PowerPoint, Python",1,0,0,0,0
359,ML0363,0,2,0,0,0,2,2,0,0,0,0,0,0,"C Programming, CSS, Database Management System (DBMS), HTML, Java, SQL, XML",2,5,0,0,0
360,ML0364,1,0,2,0,0,0,0,0,0,0,0,0,0,"Android, Python",3,0,0,0,0
361,ML0365,2,3,0,0,2,0,2,2,0,0,0,0,0,"Amazon Web Services (AWS), C Programming, CSS, Data Structures, Database Management System (DBMS), Java, JavaScript, MySQL, Python, AngularJS, Computer Networking, Data Analytics, Linux, R Programming, SAP",10,4,1,0,2
362,ML0366,0,0,0,0,0,2,0,0,0,0,0,0,0,"HTML, Java",0,2,0,0,0
363,ML0367,2,0,0,0,0,2,2,1,0,0,0,0,0,"CSS, HTML, Python, SQL, JavaScript",2,5,0,0,0
364,ML0368,0,0,2,0,0,0,0,0,0,0,0,0,0,"Android, Java",2,0,0,0,0
365,ML0369,1,0,2,1,0,1,1,1,0,0,0,0,0,"C Programming, C++ Programming, Android, CSS, Django, HTML, Java, JavaScript, PHP, Python, R Programming",3,5,0,0,0
366,ML0370,0,0,0,1,1,1,1,0,0,0,0,0,0,"Android, CSS, HTML, Java, MySQL, PHP",1,3,0,0,0
367,ML0371,1,0,0,0,0,2,2,0,0,0,0,0,0,"Algorithms, C Programming, C++ Programming, Data Structures, Android, CSS, Flask, HTML, Java, MATLAB, Python",5,4,0,0,0
368,ML0372,0,2,0,1,0,1,1,1,0,0,0,0,0,"C Programming, CSS, HTML, JavaScript, PHP",2,4,0,0,0
369,ML0373,0,0,1,0,0,1,1,1,0,0,0,0,0,"Android, CSS, HTML, Java, JavaScript",1,3,0,0,0
370,ML0374,0,0,0,0,0,2,2,0,0,2,0,0,0,"Bootstrap, CSS, HTML, Angular 7.0",0,6,0,0,0
371,ML0375,2,0,2,0,2,2,2,1,0,2,0,0,0,"Arduino, Bootstrap, CSS, HTML, MySQL, Python, C Programming, Django, JavaScript, jQuery",6,9,0,0,0
372,ML0376,0,0,0,0,0,0,0,0,0,0,0,0,0,"Digital Marketing, Video Editing, Adobe Photoshop, Android, Machine Learning",1,1,0,0,0
373,ML0377,0,1,0,1,2,1,2,0,0,2,0,0,0,"Bootstrap, CSS, Java, MS-Office, MySQL, C++ Programming, HTML, PHP",3,6,0,0,0
374,ML0378,0,0,0,2,0,2,2,2,0,0,0,0,0,"Adobe Photoshop, C Programming, C++ Programming, CSS, Computer Networking, Data Structures, Database Management System (DBMS), HTML, Java, JavaScript, Linux, MS SQL Server, MS-Office, MS-PowerPoint, MS-Word, Microsoft Visual Studio, PHP, SQL, Swing (Java), Visual Basic (VB), Perl",1,9,0,0,0
375,ML0379,2,0,0,2,3,3,2,2,0,2,0,2,0,"C Programming, C++ Programming, HTML, MySQL, .NET, Bootstrap, CSS, Data Structures, Java, JavaScript, Node.js, PHP, Python, Visual Basic (VB)",6,14,0,0,0
376,ML0380,0,0,2,0,0,0,0,0,0,0,0,0,0,"Adobe Photoshop, Android, Java, MS-Office, 3ds Max",2,1,0,0,0
377,ML0381,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accounting, C Programming, Data Structures, VHDL",1,0,0,0,0
378,ML0382,2,0,0,3,0,3,2,3,0,0,0,0,0,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), HTML, Java, JavaScript, PHP, SQL, CSS, Python, jQuery",4,12,0,0,0
379,ML0383,0,0,0,0,0,2,0,2,0,0,0,0,0,"HTML, Java, JavaScript, ASP.NET, Android, C#.NET",0,6,0,0,0
380,ML0384,2,0,0,0,0,0,0,0,0,0,0,0,0,"Java, Python",2,0,0,0,0
381,ML0385,1,1,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Java, Python",2,0,0,0,0
382,ML0386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,ML0387,1,1,0,2,2,2,2,2,0,2,0,0,0,"Android, Bootstrap, C Programming, CSS, Database Management System (DBMS), HTML, Java, JavaScript, Linux, MS-Office, MySQL, PHP, React Native, SQL, C++ Programming, GitHub, LARAVEL, MATLAB, Python",5,10,0,0,0
384,ML0388,2,1,0,0,0,2,0,0,0,0,0,0,0,"Database Management System (DBMS), HTML, Python, SQL",3,2,0,0,0
385,ML0389,2,0,0,2,0,2,2,1,0,0,0,0,0,"CSS, Cloud Computing, HTML, PHP, Python, Android, JavaScript",3,7,0,0,0
386,ML0390,1,0,0,0,0,2,2,1,0,0,0,0,0,"CSS, HTML, JavaScript, Python",1,5,0,0,0
387,ML0391,2,2,0,0,0,0,0,0,0,0,0,0,0,"Android, C Programming, C++ Programming, Python, User Interface (UI) Development",4,1,0,0,0
388,ML0392,2,3,0,2,0,2,2,3,0,0,0,0,0,"C Programming, C++ Programming, JavaScript, CSS, HTML, Java, PHP, Python",5,9,0,0,0
